Ticket ID,Summary,Status,Date Created,Hour Created,Category,Team,ITIL Type,Ticket Type,Assigned Agent,User Name,Client,SLA,Time to Respond (Decimal),Time to Resolve (Decimal),Priority,Date Closed
20184,,With User,4/1/2026 8:30,8,Darktrace>Network,2da Linea de Soporte,Incident,Alerta,Unassigned,Contacto Demo,Umbrella Ltda,SLA Incidente -24/7 General,,,Media,
20196,,Closed,4/10/2026 15:52,15,Cloudflare>ZTNA,1ra Linea de Soporte,Incident,Incidente Menor,Unassigned,Contacto Demo,Initech,SLA Incidente -24/7 General,,4.148813853,Media,4/10/2026 20:01
20220,,In Progress,4/10/2026 2:58,2,Darktrace>Network,3ra Linea de Soporte,Service Request,ABC de Usuario,Unassigned,Contacto Demo,Initech,SLA Requerimiento -24/7 General,,,Baja,
20091,,Closed,4/10/2026 5:29,5,General>Reporte,2da Linea de Soporte,Incident,CTI Advisory,Unassigned,Contacto Demo,Globex S.A.,SLA Incidente -24/7 General,,10.781950364,Baja,4/10/2026 16:16
20075,,New,4/10/2026 6:12,6,Cloudflare>WAF,1ra Linea de Soporte,Incident,CTI Advisory,Unassigned,Contacto Demo,Globex S.A.,SLA Incidente -24/7 General,,,Alta,
20128,,On Hold,4/11/2026 4:19,4,Darktrace>Network,3ra Linea de Soporte,Incident,CTI Advisory,Unassigned,Contacto Demo,Umbrella Ltda,SLA Incidente -24/7 General,,,Alta,
20016,,Closed,4/11/2026 6:46,6,ElasticSearch>SIEM,2da Linea de Soporte,Incident,Incidente Menor,Unassigned,Contacto Demo,ACME Corp,SLA Incidente -24/7 General,,2.044621506,Alta,4/11/2026 8:49
20098,,With User,4/13/2026 20:39,20,Darktrace>Network,1ra Linea de Soporte,Incident,Incidente Menor,Unassigned,Contacto Demo,Globex S.A.,SLA Incidente -24/7 General,,,Media,
20055,,New,4/14/2026 21:41,21,General>Reporte,1ra Linea de Soporte,Incident,Alerta,Unassigned,Contacto Demo,ACME Corp,SLA Incidente -24/7 General,,,Alta,
20190,,New,4/14/2026 3:04,3,General>Reporte,3ra Linea de Soporte,Change Request,Cambio,Unassigned,Contacto Demo,Umbrella Ltda,SLA Requerimiento -24/7 General,,,Baja,
20090,,Closed,4/14/2026 9:33,9,Cloudflare>ZTNA,1ra Linea de Soporte,Service Request,Solicitud de Reporte,Unassigned,Contacto Demo,Globex S.A.,SLA Requerimiento -24/7 General,,18.795165681,Media,4/15/2026 4:21
20135,,New,4/15/2026 11:35,11,CTI,1ra Linea de Soporte,Incident,Alerta,Unassigned,Contacto Demo,Umbrella Ltda,SLA Incidente -24/7 General,,,Alta,
20216,,In Progress,4/16/2026 0:20,0,General>Otros,1ra Linea de Soporte,Incident,CTI Advisory,Unassigned,Contacto Demo,Initech,SLA Incidente -24/7 General,,,Baja,
20166,,New,4/16/2026 10:02,10,ElasticSearch>SIEM,1ra Linea de Soporte,Service Request,ABC de Usuario,Unassigned,Contacto Demo,Umbrella Ltda,SLA Requerimiento -24/7 General,,,Alta,
20080,,In Progress,4/16/2026 14:02,14,ElasticSearch>SIEM,1ra Linea de Soporte,Incident,CTI Advisory,Unassigned,Contacto Demo,Globex S.A.,SLA Incidente -24/7 General,,,Media,
20082,,Closed,4/17/2026 20:19,20,Darktrace>Network,3ra Linea de Soporte,Change Request,Cambio,Unassigned,Contacto Demo,Globex S.A.,SLA Requerimiento -24/7 General,,29.048270332,Media,4/19/2026 1:22
20083,,In Progress,4/17/2026 20:20,20,General>Otros,3ra Linea de Soporte,Incident,CTI Advisory,Unassigned,Contacto Demo,Globex S.A.,SLA Incidente -24/7 General,,,Media,
20084,,On Hold,4/18/2026 14:01,14,ThreatDown,1ra Linea de Soporte,Service Request,ABC de Usuario,Unassigned,Contacto Demo,Globex S.A.,SLA Requerimiento -24/7 General,,,Baja,
20172,,With User,4/18/2026 15:42,15,ThreatDown,3ra Linea de Soporte,Incident,Alerta,Unassigned,Contacto Demo,Umbrella Ltda,SLA Incidente -24/7 General,,,Media,
20044,,Closed,4/2/2026 19:20,19,Cloudflare>WAF,3ra Linea de Soporte,Change Request,Cambio,Unassigned,Contacto Demo,ACME Corp,SLA Requerimiento -24/7 General,,10.901089613,Media,4/3/2026 6:14
20077,,In Progress,4/2/2026 2:27,2,Cloudflare>ZTNA,3ra Linea de Soporte,Service Request,Solicitud,Unassigned,Contacto Demo,Globex S.A.,SLA Requerimiento -24/7 General,,,Baja,
20147,,Closed,4/20/2026 22:04,22,ThreatDown,1ra Linea de Soporte,Incident,CTI Advisory,Unassigned,Contacto Demo,Umbrella Ltda,SLA Incidente -24/7 General,,3.053332945,Alta,4/21/2026 1:07
20002,,Closed,4/20/2026 5:17,5,General>Otros,2da Linea de Soporte,Service Request,Solicitud,Unassigned,Contacto Demo,ACME Corp,SLA Requerimiento -24/7 General,,20.681058433,Media,4/21/2026 1:58
20114,,Closed,4/21/2026 3:46,3,Darktrace>Network,1ra Linea de Soporte,Incident,CTI Advisory,Unassigned,Contacto Demo,Globex S.A.,SLA Incidente -24/7 General,,0.802124138,Media,4/21/2026 4:34
20073,,New,4/21/2026 9:18,9,SOC Radar>Brand Protection,2da Linea de Soporte,Incident,CTI Advisory,Unassigned,Contacto Demo,Globex S.A.,SLA Incidente -24/7 General,,,Alta,
20067,,Closed,4/23/2026 12:10,12,General>Reporte,2da Linea de Soporte,Service Request,ABC de Usuario,Unassigned,Contacto Demo,Globex S.A.,SLA Requerimiento -24/7 General,,9.368041830,Alta,4/23/2026 21:32
20120,,In Progress,4/24/2026 22:22,22,SOC Radar>Brand Protection,2da Linea de Soporte,Change Request,Cambio,Unassigned,Contacto Demo,Umbrella Ltda,SLA Requerimiento -24/7 General,,,Media,
20020,,New,4/24/2026 6:10,6,ElasticSearch>SIEM,3ra Linea de Soporte,Incident,CTI Advisory,Unassigned,Contacto Demo,ACME Corp,SLA Incidente -24/7 General,,,Alta,
20146,,Closed,4/25/2026 1:22,1,Cloudflare>WAF,1ra Linea de Soporte,Service Request,ABC de Usuario,Unassigned,Contacto Demo,Umbrella Ltda,SLA Requerimiento -24/7 General,,44.758677902,Baja,4/26/2026 22:08
20034,,With User,4/26/2026 18:02,18,Cloudflare>WAF,1ra Linea de Soporte,Incident,Alerta,Unassigned,Contacto Demo,ACME Corp,SLA Incidente -24/7 General,,,Alta,
20226,,In Progress,4/27/2026 11:25,11,Cloudflare>WAF,3ra Linea de Soporte,Service Request,Solicitud de Reporte,Unassigned,Contacto Demo,Initech,SLA Requerimiento -24/7 General,,,Media,
20238,,With User,4/27/2026 16:23,16,CTI,1ra Linea de Soporte,Incident,Incidente Menor,Unassigned,Contacto Demo,Initech,SLA Incidente -24/7 General,,,Alta,
20011,,With User,4/27/2026 18:52,18,General>Reporte,3ra Linea de Soporte,Change Request,Cambio,Unassigned,Contacto Demo,ACME Corp,SLA Requerimiento -24/7 General,,,Alta,
20153,,New,4/27/2026 2:09,2,SOC Radar>Brand Protection,2da Linea de Soporte,Incident,Alerta,Unassigned,Contacto Demo,Umbrella Ltda,SLA Incidente -24/7 General,,,Baja,
20087,,Closed,4/28/2026 2:13,2,Darktrace>Network,2da Linea de Soporte,Service Request,Solicitud,Unassigned,Contacto Demo,Globex S.A.,SLA Requerimiento -24/7 General,,56.551197362,Baja,4/30/2026 10:46
20106,,On Hold,4/28/2026 22:19,22,Cloudflare>ZTNA,2da Linea de Soporte,Change Request,Cambio,Unassigned,Contacto Demo,Globex S.A.,SLA Requerimiento -24/7 General,,,Media,
20127,,On Hold,4/28/2026 23:19,23,ThreatDown,3ra Linea de Soporte,Incident,Incidente Menor,Unassigned,Contacto Demo,Umbrella Ltda,SLA Incidente -24/7 General,,,Alta,
20173,,New,4/29/2026 12:20,12,CTI,3ra Linea de Soporte,Service Request,Solicitud,Unassigned,Contacto Demo,Umbrella Ltda,SLA Requerimiento -24/7 General,,,Baja,
20123,,Closed,4/3/2026 13:52,13,General>Reporte,1ra Linea de Soporte,Incident,CTI Advisory,Unassigned,Contacto Demo,Umbrella Ltda,SLA Incidente -24/7 General,,0.247346119,Baja,4/3/2026 14:06
20202,,On Hold,4/3/2026 21:14,21,Cloudflare>ZTNA,1ra Linea de Soporte,Service Request,ABC de Usuario,Unassigned,Contacto Demo,Initech,SLA Requerimiento -24/7 General,,,Alta,
20033,,On Hold,4/3/2026 5:02,5,SOC Radar>Brand Protection,2da Linea de Soporte,Incident,Incidente Menor,Unassigned,Contacto Demo,ACME Corp,SLA Incidente -24/7 General,,,Alta,
20008,,In Progress,4/4/2026 1:39,1,General>Reporte,1ra Linea de Soporte,Service Request,Tarea Administrativa,Unassigned,Contacto Demo,ACME Corp,SLA Requerimiento -24/7 General,,,Baja,
20072,,New,4/4/2026 15:08,15,ThreatDown,3ra Linea de Soporte,Service Request,ABC de Usuario,Unassigned,Contacto Demo,Globex S.A.,SLA Requerimiento -24/7 General,,,Alta,
20031,,With User,4/4/2026 22:48,22,General>Otros,3ra Linea de Soporte,Incident,CTI Advisory,Unassigned,Contacto Demo,ACME Corp,SLA Incidente -24/7 General,,,Baja,
20161,,New,4/5/2026 1:14,1,CTI,2da Linea de Soporte,Service Request,Tarea Administrativa,Unassigned,Contacto Demo,Umbrella Ltda,SLA Requerimiento -24/7 General,,,Media,
20062,,On Hold,4/6/2026 10:08,10,ElasticSearch>SIEM,3ra Linea de Soporte,Incident,Incidente Menor,Unassigned,Contacto Demo,Globex S.A.,SLA Incidente -24/7 General,,,Baja,
20049,,In Progress,4/6/2026 7:56,7,Darktrace>Network,2da Linea de Soporte,Incident,CTI Advisory,Unassigned,Contacto Demo,ACME Corp,SLA Incidente -24/7 General,,,Alta,
20088,,New,4/7/2026 18:44,18,General>Reporte,1ra Linea de Soporte,Incident,CTI Advisory,Unassigned,Contacto Demo,Globex S.A.,SLA Incidente -24/7 General,,,Alta,
20117,,In Progress,4/7/2026 7:50,7,General>Otros,3ra Linea de Soporte,Incident,Alerta,Unassigned,Contacto Demo,Umbrella Ltda,SLA Incidente -24/7 General,,,Baja,
20100,,On Hold,4/7/2026 9:21,9,Cloudflare>WAF,1ra Linea de Soporte,Incident,Incidente Menor,Unassigned,Contacto Demo,Globex S.A.,SLA Incidente -24/7 General,,,Baja,
20096,,On Hold,4/8/2026 23:08,23,General>Otros,1ra Linea de Soporte,Service Request,Tarea Administrativa,Unassigned,Contacto Demo,Globex S.A.,SLA Requerimiento -24/7 General,,,Media,
20040,,In Progress,4/9/2026 10:52,10,ThreatDown,2da Linea de Soporte,Incident,Alerta,Unassigned,Contacto Demo,ACME Corp,SLA Incidente -24/7 General,,,Alta,
20089,,With User,4/9/2026 22:55,22,SOC Radar>Brand Protection,1ra Linea de Soporte,Change Request,Cambio,Unassigned,Contacto Demo,Globex S.A.,SLA Requerimiento -24/7 General,,,Baja,
20134,,Closed,4/9/2026 23:53,23,General>Reporte,1ra Linea de Soporte,Service Request,Solicitud,Unassigned,Contacto Demo,Umbrella Ltda,SLA Requerimiento -24/7 General,,37.075360317,Media,4/11/2026 12:57
20144,,With User,4/9/2026 3:10,3,General>Otros,3ra Linea de Soporte,Incident,Alerta,Unassigned,Contacto Demo,Umbrella Ltda,SLA Incidente -24/7 General,,,Baja,
20107,,New,5/1/2026 23:07,23,ElasticSearch>SIEM,2da Linea de Soporte,Service Request,ABC de Usuario,Unassigned,Contacto Demo,Globex S.A.,SLA Requerimiento -24/7 General,,,Alta,
20163,,New,5/1/2026 9:24,9,CTI,1ra Linea de Soporte,Incident,Incidente Menor,Unassigned,Contacto Demo,Umbrella Ltda,SLA Incidente -24/7 General,,,Baja,
20015,,In Progress,5/10/2026 8:47,8,ThreatDown,2da Linea de Soporte,Incident,Alerta,Unassigned,Contacto Demo,ACME Corp,SLA Incidente -24/7 General,,,Baja,
20133,,New,5/11/2026 5:14,5,Cloudflare>WAF,1ra Linea de Soporte,Incident,Incidente Menor,Unassigned,Contacto Demo,Umbrella Ltda,SLA Incidente -24/7 General,,,Alta,
20061,,New,5/12/2026 15:19,15,General>Otros,1ra Linea de Soporte,Incident,CTI Advisory,Unassigned,Contacto Demo,Globex S.A.,SLA Incidente -24/7 General,,,Media,
20159,,New,5/12/2026 8:22,8,General>Reporte,1ra Linea de Soporte,Incident,Incidente Menor,Unassigned,Contacto Demo,Umbrella Ltda,SLA Incidente -24/7 General,,,Alta,
20030,,Closed,5/13/2026 3:20,3,CTI,1ra Linea de Soporte,Incident,Alerta,Unassigned,Contacto Demo,ACME Corp,SLA Incidente -24/7 General,,10.904358058,Alta,5/13/2026 14:14
20112,,Closed,5/14/2026 20:30,20,General>Otros,1ra Linea de Soporte,Incident,Alerta,Unassigned,Contacto Demo,Globex S.A.,SLA Incidente -24/7 General,,6.794602815,Media,5/15/2026 3:17
20188,,In Progress,5/14/2026 6:47,6,CTI,1ra Linea de Soporte,Incident,Incidente Menor,Unassigned,Contacto Demo,Umbrella Ltda,SLA Incidente -24/7 General,,,Alta,
20170,,New,5/15/2026 18:49,18,Cloudflare>WAF,3ra Linea de Soporte,Service Request,Solicitud,Unassigned,Contacto Demo,Umbrella Ltda,SLA Requerimiento -24/7 General,,,Baja,
20060,,With User,5/16/2026 1:08,1,General>Otros,1ra Linea de Soporte,Change Request,Cambio,Unassigned,Contacto Demo,ACME Corp,SLA Requerimiento -24/7 General,,,Media,
20198,,New,5/17/2026 20:27,20,CTI,2da Linea de Soporte,Service Request,ABC de Usuario,Unassigned,Contacto Demo,Initech,SLA Requerimiento -24/7 General,,,Alta,
20158,,In Progress,5/18/2026 10:59,10,ElasticSearch>SIEM,3ra Linea de Soporte,Incident,Alerta,Unassigned,Contacto Demo,Umbrella Ltda,SLA Incidente -24/7 General,,,Alta,
20003,,On Hold,5/18/2026 19:49,19,General>Reporte,1ra Linea de Soporte,Service Request,Solicitud de Reporte,Unassigned,Contacto Demo,ACME Corp,SLA Requerimiento -24/7 General,,,Alta,
20192,,New,5/18/2026 8:18,8,CTI,3ra Linea de Soporte,Service Request,Solicitud de Reporte,Unassigned,Contacto Demo,Umbrella Ltda,SLA Requerimiento -24/7 General,,,Baja,
20057,,On Hold,5/18/2026 9:58,9,Cloudflare>ZTNA,1ra Linea de Soporte,Service Request,Tarea Administrativa,Unassigned,Contacto Demo,ACME Corp,SLA Requerimiento -24/7 General,,,Baja,
20115,,With User,5/19/2026 3:56,3,CTI,1ra Linea de Soporte,Service Request,Solicitud de Reporte,Unassigned,Contacto Demo,Globex S.A.,SLA Requerimiento -24/7 General,,,Media,
20207,,In Progress,5/2/2026 17:44,17,CTI,1ra Linea de Soporte,Incident,Alerta,Unassigned,Contacto Demo,Initech,SLA Incidente -24/7 General,,,Media,
20018,,Closed,5/2/2026 5:52,5,SOC Radar>Brand Protection,3ra Linea de Soporte,Service Request,Solicitud,Unassigned,Contacto Demo,ACME Corp,SLA Requerimiento -24/7 General,,48.029868192,Media,5/4/2026 5:53
20069,,Closed,5/20/2026 13:57,13,General>Otros,3ra Linea de Soporte,Service Request,Tarea Administrativa,Unassigned,Contacto Demo,Globex S.A.,SLA Requerimiento -24/7 General,,40.257882706,Baja,5/22/2026 6:12
20210,,In Progress,5/20/2026 16:54,16,Darktrace>Network,1ra Linea de Soporte,Incident,Incidente Menor,Unassigned,Contacto Demo,Initech,SLA Incidente -24/7 General,,,Media,
20131,,Closed,5/20/2026 5:13,5,CTI,1ra Linea de Soporte,Service Request,Solicitud,Unassigned,Contacto Demo,Umbrella Ltda,SLA Requerimiento -24/7 General,,47.504108736,Alta,5/22/2026 4:44
20235,,On Hold,5/20/2026 5:20,5,SOC Radar>Brand Protection,1ra Linea de Soporte,Incident,CTI Advisory,Unassigned,Contacto Demo,Initech,SLA Incidente -24/7 General,,,Baja,
20145,,Closed,5/21/2026 1:24,1,ElasticSearch>SIEM,3ra Linea de Soporte,Incident,CTI Advisory,Unassigned,Contacto Demo,Umbrella Ltda,SLA Incidente -24/7 General,,0.724159115,Media,5/21/2026 2:08
20221,,Closed,5/23/2026 0:57,0,Darktrace>Network,3ra Linea de Soporte,Service Request,Tarea Administrativa,Unassigned,Contacto Demo,Initech,SLA Requerimiento -24/7 General,,18.814101935,Baja,5/23/2026 19:46
20063,,On Hold,5/23/2026 9:08,9,Cloudflare>ZTNA,3ra Linea de Soporte,Incident,CTI Advisory,Unassigned,Contacto Demo,Globex S.A.,SLA Incidente -24/7 General,,,Alta,
20141,,Closed,5/24/2026 0:35,0,CTI,2da Linea de Soporte,Incident,CTI Advisory,Unassigned,Contacto Demo,Umbrella Ltda,SLA Incidente -24/7 General,,0.345898033,Alta,5/24/2026 0:56
20005,,In Progress,5/24/2026 12:55,12,SOC Radar>Brand Protection,1ra Linea de Soporte,Service Request,Solicitud de Reporte,Unassigned,Contacto Demo,ACME Corp,SLA Requerimiento -24/7 General,,,Media,
